Restaurant Name,Location,Phone Number,Features
RESTAURANT #105040,"525 Highway 97 South, Kelowna BC V1Z 4C9",(250) 769-3117,Open 24 hours ; Drive-thru ; Tim Card Accepted ; In Restaurant Seating ; WiFi ;Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #102097,"1901 Harvey Ave, Kelowna BC V1Y 6G5",(250) 869-0855,Open 24 hours ; Drive-thru ; Tim Card Accepted ; In Restaurant Seating ; WiFi ;Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #102852,"3255 Lakeshore Rd, Kelowna BC V1W 3S9",(250) 712-9881,Tim Card Accepted ; In Restaurant Seating ; Catering ; WiFi ; Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #100990,"3135 Gordon Dr, Kelowna BC V1W 3N4",(250) 861-4002,Open 24 hours
RESTAURANT #100219,"2090C Harvey Ave, Kelowna BC V1Y 8P8",(250) 763-9898,Open 24 hours ; Tim Card Accepted ; In Restaurant Seating ; WiFi ; Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #102974,"2271 Harvey Ave., Kelowna BC V1Y 6H2",(250) 861-5961,Tim Card Accepted ; In Restaurant Seating ; WiFi ; Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #101133,"2380 Highway 97 N, Kelowna BC V1X 4H8",(250) 763-8686,Open 24 hours
RESTAURANT #101459,"1936 Kane Rd, Kelowna BC V1V 2J9",(250) 712-0919,Open 24 hours ; Drive-thru ; Tim Card Accepted ; WiFi ;Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #103138,"1694 Powick Rd, Kelowna BC V1X 7G5",(250) 717-3997,Drive-thru ; In Restaurant Seating ; Catering ; WiFi ; Scan-to-Pay Mobile Payment
RESTAURANT #100284,"160 Hollywood Rd N, Kelowna BC V1X 6Y9",(250) 763-9818,Open 24 hours ; Tim Card Accepted ; Catering ; In Restaurant Seating ; WiFi ; Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #101670,"3491 Sexsmith Rd, Kelowna BC V1X 7T5",(250) 765-9434,Open 24 hours ; Drive-thru ; Tim Card Accepted ; WiFi ;Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
RESTAURANT #106548,"1138 Alumni Avenue, Kelowna BC V1V 1V7",(250) 478-4012,Tim Card Accepted
RESTAURANT #103087,"3333 University Way, Kelowna BC V1V 1V7",(250) 807-8060,
RESTAURANT #103268,"5533 Airport Way, Kelowna BC V1V 1S1",(250) 765-3292,Tim Card Accepted ; In Restaurant Seating ;Tap-to-Pay Mobile Payment ; Scan-to-Pay Mobile Payment
